iso2_code,Country,Bloc,GDP,MF_pc,DMC_pc,DE_pc,Population,Developers,num_languages,pct_web,pct_data_ml,pct_systems,pct_mobile,pct_devops,pct_other,RD_pct_GDP,Patents_residents,Researchers_per_million,HighTech_exports,GDP_pc,DMC_total,Mat_Intensity,Gap_MF_DMC,Devs_per_million,Mat_Productivity,pct_advanced,Cluster
AT,Austria,EU-27,418190370366.673,26.3159,16.7558,15.5415,8977139.0,375775.0,99,38.9068829590937,11.524419249379632,7.895845137207731,5.629501252851867,15.21116689441201,20.832184507055057,3.26,2619,5749,14.1,46583.92505303449,150419145.6562,0.00035969060101577943,9.560099999999998,41859.104554357466,1770.114453185386,34.63143128099937,4
BE,Belgium,EU-27,532530656429.071,47.2286,19.8967,15.5139,11715774.0,390954.0,93,43.66608272217108,11.628314379880637,6.752575789067371,4.227263279788592,14.14442234033077,19.58134148876154,3.43,1567,5578,11.8,45454.15918991532,233105240.5458,0.0004377311197610796,27.3319,33369.88234836213,962.408303053918,32.52531250927878,4
BG,Bulgaria,EU-27,65023138713.8977,16.61,22.527,23.0643,6618615.0,207548.0,57,51.87895080197063,7.33021393381774,7.340336985130362,5.696465930308416,12.195464873011945,15.558567475760915,0.77,289,2099,8.2,9824.281774041503,149097540.10500002,0.0022929920495076426,-5.917000000000002,31358.222226251262,591.4322902920657,26.866015791960045,4
HR,Croatia,EU-27,68707509493.9887,16.012,11.7429,10.7581,3986627.0,109620.0,41,52.27737242946369,9.103780586670322,7.862615467178205,6.67054887587207,12.487011726555451,11.598670914260268,1.25,347,1967,8.9,17234.4966042694,46814562.198300004,0.0006813601969140777,4.2691,27496.92910824113,1076.2815590001496,29.453407780403978,2
CY,Cyprus,EU-27,31017134702.0533,25.4039,32.0394,26.9315,1268467.0,43642.0,27,48.32750041663691,11.1801537985382,8.870794943218343,6.590005475799347,16.44168273694736,8.589862628859843,0.93,78,1156,12.3,24452.456943738624,40640921.5998,0.0013102732405875523,-6.6355,34405.30971637418,962.5094743037218,36.4926314787039,1
CZ,Czech Republic,EU-27,222480870567.081,20.6277,17.4653,16.5637,10503734.0,426896.0,105,40.57496438937143,10.619732036713756,7.969551573829134,4.565389682021184,14.952715511240106,21.31764680682439,2.0,1038,4103,16.2,21181.121929313995,183450865.43019998,0.000824569163913295,3.1624000000000017,40642.30872563986,1026.779289500259,33.541999121783,4
DK,Denmark,EU-27,377924893185.309,26.7241,21.0693,17.764,5939695.0,347722.0,80,40.75780938685701,13.339801451861604,7.034771912195291,4.3469221573485335,14.65306051733398,19.86763457440357,2.81,1876,8198,15.1,63626.98643369887,125145215.86349998,0.00033113779515480914,5.654800000000002,58542.06318674612,2380.7950740576784,35.02763388139088,1
EE,Estonia,EU-27,27502872345.3324,30.0397,29.4311,31.3251,1319041.0,87526.0,41,50.890017813551495,9.809329022893712,6.9420069934683655,6.6530316025598735,15.254997690835918,10.450616876690638,1.76,89,4392,12.8,20850.65767124176,38820827.5751,0.0014115190256369131,0.6085999999999991,66355.78424021695,694.0802867856528,32.006333707197996,3
FI,Finland,EU-27,252859096867.846,32.0355,28.581,31.1526,5549886.0,376011.0,90,42.55025507974821,11.358808161346603,7.95854841091193,4.379295901547956,14.729235785293064,19.023856661152244,2.99,1598,7707,8.7,45561.13348415553,158621291.766,0.0006273109954549179,3.4544999999999995,67751.121374385,1422.1632664041183,34.046592357551596,3
FR,France,EU-27,2702385011317.5,17.9526,12.1677,11.4424,64881830.0,2629137.0,192,43.609613612664624,10.633584790857263,6.995591091044559,4.490443872070494,14.082537953237892,20.188228680125167,2.21,14245,5089,26.1,41650.875311585696,789462642.891,0.0002921355171764039,5.7849,40521.93040794318,2319.9177497318474,31.711713835139715,2
DE,Germany,EU-27,3683559545240.29,24.8098,14.4129,12.2213,83252474.0,3427168.0,231,35.02370205417803,11.817457512984458,8.221145832638829,4.729309873522372,15.391367251828491,24.81701747484782,3.13,46338,5445,16.3,44245.646624751236,1199909582.5146,0.00032574730170035197,10.396899999999999,41165.95982480953,1783.3220462359632,35.42997059745178,4
GR,Greece,EU-27,224962760462.684,14.8312,8.1173,7.7017,10302720.0,192359.0,63,43.90861227296813,13.709286463207029,7.802793718080249,6.210329316001308,13.847957699635844,14.521020530107442,1.45,687,3102,11.2,21835.278495648137,83630269.05600001,0.00037175161295139025,6.713900000000001,18670.70055286371,1472.1537260587193,35.360037880923116,2
HU,Hungary,EU-27,158015487624.862,19.6792,15.648,14.5485,9994993.0,258728.0,69,48.83386277863756,9.364394124514677,7.1321260170327525,5.835663797706642,12.153711094820489,16.680242187287885,1.65,638,3169,15.8,15809.46456139209,156401650.464,0.0009897868418778457,4.031200000000002,25885.76100053297,803.3182874865137,28.65023123636792,4
IE,Ireland,EU-27,492370629886.028,30.2706,20.0918,15.9687,5089478.0,272278.0,72,45.002198932895205,12.955033896758025,6.720436799349448,5.435928074149677,14.329159509762432,15.55724278708521,1.23,876,4987,32.4,96742.85454933257,102256774.08039999,0.00020768252181099832,10.178800000000003,53498.21730244241,3195.828913877448,34.00463020586991,1
IT,Italy,EU-27,2029012875282.16,16.5046,7.7088,7.0228,58697744.0,988601.0,139,41.23589155926722,13.389591429872109,7.8414113710724545,5.482585480387782,13.228688489665211,18.82183166973522,1.45,9689,2456,9.1,34567.13558330555,452489168.9472,0.00022300951091021326,8.7958,16842.231619668382,2094.2671325674646,34.459691290609776,4
LV,Latvia,EU-27,31570906307.78,25.2099,18.4382,22.5435,1810240.0,72522.0,36,52.667643058897376,11.08510304425149,7.347787425462915,5.3261324406318655,13.336907626320746,10.23642640443561,0.71,156,2267,13.4,17440.17716312754,33377567.167999998,0.001057225498774319,6.771700000000003,40062.0912144246,691.7713038061925,31.76979809603515,4
LT,Lithuania,EU-27,55144866855.2473,24.4785,20.3576,20.2271,2692798.0,101288.0,41,50.53500322559117,10.310769025426556,7.6290792605610305,5.317776344181701,13.82443885836318,12.38293328587636,1.14,134,3254,11.6,20478.649663007513,54818904.5648,0.0009940889821839097,4.120899999999999,37614.40702198977,836.5632330320273,31.764287144350767,4
LU,Luxembourg,EU-27,70421024000.2725,75.2715,39.608,16.3716,661594.0,25509.0,19,49.30883489310552,15.544775478664032,6.520992530265304,2.9836009272774104,19.56727054177041,6.074525628917318,1.0,187,5123,17.8,106441.44898574127,26204415.152,0.0003721106803544719,35.663500000000006,38556.879294552244,1414.0814903947823,41.633038550699744,4
MT,Malta,EU-27,19221900877.3265,21.033,26.5993,13.394,536740.0,12011.0,15,61.27230523719716,12.839112142753518,4.918032786885246,2.328449151312926,15.000725373567386,3.641375308283766,0.68,24,1876,42.3,35812.312995726985,14276908.282,0.0007427417492741602,-5.566299999999998,22377.68752095987,1702.591660916943,32.757870303206154,2
NL,Netherlands,EU-27,926182265714.104,33.2842,12.4351,9.577,17671125.0,1225904.0,163,40.01597395497917,11.862008668347496,7.198882692245853,4.672425286127602,14.497624330471409,21.753085067828472,2.27,5234,5867,19.8,52412.184607041374,219742206.4875,0.00023725589942933601,20.8491,69373.28551521196,1574.639317385546,33.558515691064756,1
PL,Poland,EU-27,657413741875.58,15.0068,19.7536,18.4114,40221726.0,1305649.0,150,41.90083411316595,10.524993222436482,7.961227833314269,5.992086687964578,13.312485758109885,20.30837238500884,1.44,4534,3387,9.8,16344.742189223305,794523886.7135999,0.0012085599008728493,-4.746799999999999,32461.28721576991,1089.0831560404126,31.798706813860633,1
PT,Portugal,EU-27,240564244984.515,14.8125,12.7201,10.9845,10223349.0,438709.0,86,44.89465533011808,10.724679860302675,7.388938549808747,5.624012556128388,14.171638533178111,17.196075170463995,1.68,789,4876,5.2,23530.864982161424,130042021.61490001,0.0005405708634018773,2.0923999999999996,42912.45461736657,1588.4743633956475,32.28525694328953,2
RO,Romania,EU-27,238241389259.769,19.4318,15.9801,15.3755,19618996.0,394324.0,94,44.89767494741629,9.58700471832187,9.030754363026547,7.109885737024616,11.986527201409812,17.388153032800865,0.48,1023,908,10.8,12143.40373277863,313513517.9796,0.0013159490001032408,3.451699999999999,20099.09171702772,624.892127371178,30.60428628275823,4
SK,Slovakia,EU-27,107345393746.487,17.0227,14.0534,12.6039,5702832.0,105953.0,44,49.77272727272727,10.030655391120508,7.88477801268499,5.45877378435518,14.266384778012686,12.586680761099366,0.93,234,2876,12.1,18823.173073744238,80144179.2288,0.0007466010084985394,2.9693000000000005,18579.014777219458,1105.7039934764027,32.18181818181819,4
