iso2_code,developers_2020,developers_2021,developers_2022,developers_2023,developers_2024,developers_2025,num_languages,pct_web,pct_data_ml,pct_systems,pct_mobile,pct_devops,pct_other
AD,,,,422.0,1064.0,1839.0,5,94.34475258292551,5.655247417074497,0.0,0.0,0.0,0.0
AE,60903.0,77219.0,108249.0,142866.0,182135.0,199731.0,57,53.13546720338855,12.533357365656808,5.6741317071461115,5.727703761559297,11.84092604553124,11.088413916717986
AF,778.0,2615.0,5647.0,7916.0,11098.0,12680.0,11,88.45425867507886,6.238170347003154,0.0,0.8517350157728707,2.6261829652996846,1.829652996845426
AL,17743.0,23015.0,26993.0,22649.0,25258.0,26402.0,16,72.93008105446557,8.143322475570033,3.223240663586092,5.010984016362397,7.764563290659798,2.9278084993561095
AM,35654.0,47475.0,79617.0,101113.0,88641.0,68883.0,30,56.21706371673708,9.517587793795276,8.061495579460825,5.966639083663604,12.82899989837841,7.40821392796481
AO,3780.0,7586.0,11281.0,15202.0,22090.0,24584.0,17,78.83176049463066,5.3123983078425,3.3761796290270096,2.8717865278229744,6.154409371949235,3.4534656687276275
AR,421432.0,609799.0,988262.0,1064281.0,1000788.0,797325.0,97,59.95597780077133,9.200012541937102,4.641269244034741,4.988179224281191,8.359953594832723,12.854607594142916
AT,224407.0,258835.0,306235.0,342083.0,375775.0,330047.0,99,38.9068829590937,11.524419249379633,7.895845137207731,5.629501252851867,15.21116689441201,20.832184507055057
AU,728160.0,791322.0,867689.0,954723.0,1069583.0,972363.0,147,42.90424460823787,12.104430135659214,6.788617008257204,3.9429719148095925,14.197681318602209,20.06205501443391
AZ,21146.0,35925.0,63490.0,82469.0,83557.0,66878.0,26,64.08684470229373,9.255659559197344,3.637967642573044,7.8022668141989895,7.812733634379018,7.404527647357876
BA,28920.0,35703.0,38005.0,42011.0,42166.0,37781.0,25,60.9539186363516,7.217913766178767,5.751568248590561,8.985998253090177,9.033641248246473,8.056959847542416
BB,106.0,448.0,,103.0,368.0,1068.0,3,100.0,0.0,0.0,0.0,0.0,0.0
BD,275663.0,452381.0,581669.0,682499.0,774845.0,782850.0,73,62.437631730216516,8.778054544293287,6.439803282876669,7.345851695727151,5.482148559749633,9.516510187136744
BE,278273.0,308293.0,337192.0,357716.0,390954.0,336790.0,93,43.66608272217108,11.628314379880637,6.752575789067371,4.227263279788592,14.14442234033077,19.58134148876154
BF,331.0,1163.0,2936.0,4456.0,5410.0,9929.0,14,77.30889314130324,9.114714472756571,3.192667942390976,2.3668043106052976,4.39117735925068,3.6257427736932217
BG,122845.0,143139.0,173092.0,198472.0,207548.0,177812.0,57,51.878950801970625,7.33021393381774,7.340336985130362,5.696465930308416,12.195464873011945,15.558567475760915
BH,2341.0,4361.0,4883.0,6450.0,13258.0,15520.0,15,72.95747422680412,11.868556701030927,2.7190721649484537,2.268041237113402,8.298969072164947,1.8878865979381443
BI,,,1099.0,1441.0,1922.0,2381.0,4,89.20621587568249,10.793784124317513,0.0,0.0,0.0,0.0
BJ,2436.0,5481.0,11246.0,17778.0,26420.0,35358.0,23,69.84840771536852,7.112958877764579,4.185757112958878,6.963063521692403,5.616833531308331,6.272979240907291
BN,106.0,753.0,510.0,950.0,756.0,1939.0,4,91.07787519339865,8.92212480660134,0.0,0.0,0.0,0.0
BO,37378.0,47669.0,63910.0,78976.0,108160.0,115687.0,36,63.91383647255093,7.1883617001045925,3.8664672780865614,8.806521043851081,6.510671034774866,9.714142470631963
BR,2182520.0,2775604.0,3635803.0,4123893.0,4867564.0,4326121.0,165,58.23242114587178,9.71542404847206,5.180807471635675,7.02264222383054,8.123397380702018,11.725307729487918
BS,,,,,,101.0,1,100.0,0.0,0.0,0.0,0.0,0.0
BT,,638.0,1963.0,2723.0,4393.0,5640.0,8,80.177304964539,15.815602836879433,0.0,0.0,4.00709219858156,0.0
BW,212.0,1507.0,2144.0,2621.0,4022.0,6596.0,6,91.79805942995755,6.094602789569436,0.0,2.107337780473014,0.0,0.0
BY,227242.0,273068.0,283199.0,247846.0,215290.0,152452.0,48,51.14199879306274,8.388213995224726,7.772282423320127,8.326555243617664,11.17007320336893,13.20087634140582
BZ,121.0,258.0,,347.0,691.0,1455.0,3,100.0,0.0,0.0,0.0,0.0,0.0
CA,1581387.0,1713970.0,1962099.0,2204641.0,2511200.0,2112498.0,193,43.57301166675661,12.050662296485013,6.897710672388803,4.628406748787454,12.805503247813727,20.044705367768394
CD,2610.0,4578.0,8959.0,11991.0,17656.0,24785.0,21,72.05164413960057,7.956425257212023,3.195481137784951,7.843453701835788,4.61166027839419,4.3413354851724835
CG,,,,715.0,1968.0,4236.0,6,89.2823418319169,7.389046270066101,0.0,0.0,3.3286118980169968,0.0
CH,416024.0,460128.0,543634.0,604909.0,666040.0,574481.0,131,35.098984996892845,13.603060849706083,8.104880753236401,3.860005813943368,16.18939529766868,23.143672288552626
CI,7367.0,11065.0,16876.0,24526.0,30140.0,39126.0,25,66.75356540407913,7.181925062618208,3.7315340182998513,8.63364514644993,6.530184532024741,7.16914583652814
CL,159562.0,196674.0,245305.0,285180.0,354143.0,317310.0,63,58.80054205666383,12.911033374302733,4.04178878699064,5.8151334656960065,8.934480476505625,9.497021839841164
CM,17782.0,27019.0,44997.0,58604.0,69291.0,86777.0,30,64.45601945215898,7.504292612097675,4.217707457045069,8.811090496329673,8.140405867914309,6.870484114454291
CN,4454130.0,3379597.0,2359455.0,1933378.0,1662773.0,1219584.0,152,40.376800613979846,10.654370670654911,9.546369909739715,5.748435532115869,12.927112851595298,20.746910421914357
CO,405481.0,550243.0,695698.0,814697.0,943981.0,908082.0,100,58.62642360491673,10.990527287183316,3.7502119852612434,7.934525736662549,7.192632383419119,11.505679002557038
CR,55952.0,67869.0,73647.0,89463.0,106716.0,104798.0,44,59.2559018301876,8.968682608446727,5.017271321971793,6.130842191644879,8.926697074371647,11.700604973377354
CU,6371.0,11455.0,17301.0,18361.0,17976.0,13220.0,14,68.95612708018155,14.53857791225416,1.7246596066565807,2.276853252647504,9.780635400907716,2.723146747352496
CV,,105.0,574.0,727.0,834.0,1262.0,3,100.0,0.0,0.0,0.0,0.0,0.0
CY,10874.0,14657.0,28928.0,42104.0,43642.0,42003.0,27,48.32750041663691,11.1801537985382,8.870794943218343,6.590005475799347,16.44168273694736,8.589862628859843
CZ,266093.0,302417.0,354986.0,393727.0,426896.0,373484.0,105,40.57496438937143,10.619732036713755,7.969551573829134,4.565389682021184,14.952715511240106,21.31764680682439
DE,2241940.0,2498963.0,2857099.0,3127734.0,3427168.0,2999740.0,231,35.02370205417803,11.817457512984458,8.221145832638829,4.729309873522372,15.391367251828491,24.81701747484782
DK,234587.0,254136.0,295827.0,320480.0,347722.0,288595.0,80,40.75780938685701,13.339801451861605,7.034771912195291,4.3469221573485335,14.65306051733398,19.867634574403574
DO,37547.0,45264.0,53529.0,62434.0,75474.0,76812.0,32,63.576003749414156,6.924699265739728,3.94990366088632,6.626568765297089,7.6654689371452385,11.25735562151747
DZ,38038.0,48268.0,65145.0,84119.0,108680.0,127355.0,36,62.10828000471123,10.014526324054808,5.875701778493188,8.548545404577755,6.322484394016725,7.130462094146283
EC,73937.0,99360.0,126969.0,152558.0,187239.0,199470.0,51,57.6898781771695,9.95788840427132,4.5966812051937636,9.726775956284154,7.356494710984107,10.672281546097159
EE,58184.0,62460.0,72972.0,79714.0,87526.0,75785.0,41,50.890017813551495,9.809329022893712,6.9420069934683655,6.6530316025598735,15.254997690835918,10.450616876690638
EG,220824.0,322550.0,486301.0,658348.0,852723.0,822440.0,84,52.89115315402947,9.239458197558484,7.4545255580954235,11.894119935800788,6.248601721706143,12.272141432809688
ES,821459.0,945447.0,1141331.0,1377725.0,1542356.0,1364329.0,159,46.519937639674886,11.003357694515033,5.868379254563965,6.513018487476262,12.134756352756556,17.960550571013297
ET,13423.0,30611.0,90609.0,101314.0,143989.0,152586.0,37,62.19115777332127,9.48579817283368,6.064121216887526,8.641684033921853,6.739150380768878,6.878088422266787
EU,10080600.0,11290304.0,13207291.0,14753766.0,16097034.0,14159413.0,238,41.68213752928882,11.29349076829668,7.499074996964916,5.162177273874277,14.083895992016055,20.279223439559253
FI,236544.0,256620.0,298488.0,334168.0,376011.0,331857.0,90,42.550255079748204,11.358808161346603,7.95854841091193,4.379295901547956,14.729235785293064,19.023856661152244
FJ,,,,,,691.0,3,100.0,0.0,0.0,0.0,0.0,0.0
FR,1711008.0,1901516.0,2211871.0,2425452.0,2629137.0,2291043.0,192,43.609613612664624,10.633584790857265,6.995591091044559,4.490443872070494,14.082537953237892,20.188228680125167
GA,,,432.0,1070.0,2024.0,3332.0,4,100.0,0.0,0.0,0.0,0.0,0.0
GB,2034878.0,2178939.0,2439815.0,2684661.0,2896334.0,2479475.0,210,39.814517186097866,12.781778400669497,6.679881829822845,3.7307494530092056,14.420028433438532,22.573044696962057
GE,25063.0,39020.0,95863.0,142324.0,128832.0,105999.0,40,60.47792903706639,10.16990726327607,5.3264653440126795,5.129293672581817,10.885951754261832,8.010452928801215
GH,42981.0,55586.0,95870.0,142456.0,148674.0,149661.0,40,64.97952038273164,9.800148335237637,3.932888327620422,6.097112808280046,7.501620328609324,7.68870981752093
GM,,,104.0,428.0,1180.0,1729.0,3,100.0,0.0,0.0,0.0,0.0,0.0
GN,,,343.0,1018.0,1927.0,3712.0,5,89.4396551724138,10.560344827586206,0.0,0.0,0.0,0.0
GP,,,,,,1151.0,3,100.0,0.0,0.0,0.0,0.0,0.0
GR,121436.0,141234.0,160613.0,172478.0,192359.0,177398.0,63,43.90861227296813,13.709286463207027,7.802793718080249,6.2103293160013076,13.847957699635845,14.521020530107442
GT,47857.0,63548.0,62426.0,68478.0,85304.0,81600.0,35,62.76593137254902,9.3125,5.363970588235294,7.30514705882353,7.0183823529411775,8.23406862745098
GY,,,,,,633.0,3,100.0,0.0,0.0,0.0,0.0,0.0
HK,648452.0,1061368.0,1752313.0,1885028.0,2018052.0,1762729.0,168,36.70342973877437,11.153217539394882,9.857272445168826,5.257019088016365,14.863090128998843,22.16597105964672
HN,16314.0,21472.0,24406.0,26378.0,34490.0,34053.0,21,69.98208674712949,5.788036296361554,4.48712301412504,9.728951927877134,3.9350424338531114,6.078759580653688
HR,65757.0,76052.0,93251.0,105812.0,109620.0,87579.0,41,52.27737242946369,9.103780586670322,7.862615467178205,6.67054887587207,12.487011726555453,11.598670914260268
