iso2_code,year,DMC_pc,GDP,MF_pc,Population,RD_pct_GDP,Patents_residents,Hightech_exports_pct,Researchers_per_million,GDP_pc_WB,Country,Bloc,Gap_MF_DMC,GDP_pc,log_GDP_pc,Patents_per_million,decade,complete
AR,1996,13.3546,398646000000.0,13.0852,35389362.0,0.41749,1097.0,,,10352.1400002191,Argentina,MERCOSUR-4,-0.2693999999999992,11264.571539888171,9.329417817512576,30.998015731394084,1990,True
AR,1997,14.3654,430981000000.0,14.4869,35815971.0,0.41959,824.0,,694.1551,11056.6881331002,Argentina,MERCOSUR-4,0.121500000000001,12033.207196867565,9.39542537334315,23.00649618015382,1990,True
AR,1998,15.6072,447574000000.0,15.7779,36233195.0,0.41131,861.0,,702.90202,11348.2022124673,Argentina,MERCOSUR-4,0.1707,12352.595458391124,9.421621478550083,23.762740216533484,1990,True
AR,1999,15.0067,432422000000.0,14.7997,36653031.0,0.45337,899.0,,710.82614,10838.3199346387,Argentina,MERCOSUR-4,-0.2070000000000007,11797.714628293632,9.375661116127883,24.52730307624491,1990,True
AR,2000,14.4671,429010000000.0,14.2885,37070774.0,0.43884,1062.0,,713.92711,10631.6503639029,Argentina,MERCOSUR-4,-0.1785999999999994,11572.728424823285,9.356406611299802,28.64790468092196,2000,True
AR,2001,13.9897,410096000000.0,13.3852,37480493.0,0.42461,691.0,,685.59721,10051.9448463043,Argentina,MERCOSUR-4,-0.6044999999999998,10941.584999962512,9.300325946648302,18.436256961721394,2000,True
AR,2002,13.8116,365418000000.0,11.1609,37885028.0,0.38886,718.0,,689.51093,8861.56199282278,Argentina,MERCOSUR-4,-2.6507000000000005,9645.446216906585,9.174241188334646,18.95207784985668,2000,True
AR,2003,14.6897,397710000000.0,11.5844,38278164.0,0.41013,792.0,,715.84326,9545.53194119994,Argentina,MERCOSUR-4,-3.1053,10389.996761600163,9.24859877240893,20.690647545164392,2000,True
AR,2004,15.1997,433622000000.0,12.1163,38668796.0,0.40376,786.0,,763.13901,10302.4465316428,Argentina,MERCOSUR-4,-3.0833999999999997,11213.744539654144,9.324895495940291,20.32646684939453,2000,True
AR,2005,16.3832,472004000000.0,13.0305,39070501.0,0.42074,1054.0,,816.8412,11099.7509190602,Argentina,MERCOSUR-4,-3.3526999999999987,12080.827937169272,9.399375006985334,26.976874445505576,2000,True
AR,2006,16.2602,509987000000.0,13.2244,39476851.0,0.45216,1020.0,,888.89168,11870.2791559298,Argentina,MERCOSUR-4,-3.035800000000002,12918.634264926552,9.46642606470018,25.83792714368225,2000,True
AR,2007,17.2818,555925000000.0,14.4005,39876111.0,0.46007,937.0,6.9617231501078,971.29008,12811.9021206578,Argentina,MERCOSUR-4,-2.8813000000000013,13941.304356385204,9.5426112492618,23.497777905172345,2000,True
AR,2008,17.2882,578480000000.0,14.1371,40273769.0,0.47055,801.0,9.3281735319394,1032.67483,13197.3570267029,Argentina,MERCOSUR-4,-3.1511,14363.691662431693,9.572458889119453,19.888876057266952,2000,True
AR,2009,14.8418,544243000000.0,11.6792,40684338.0,0.58398,640.0,9.02970287161486,1031.64133,12285.3784651865,Argentina,MERCOSUR-4,-3.1625999999999994,13377.211643458471,9.501307914614584,15.730869210653005,2000,True
AR,2010,16.247,599349000000.0,13.54,41100123.0,0.56104,552.0,7.68411002023335,1119.05035,13387.1553748458,Argentina,MERCOSUR-4,-2.7070000000000007,14582.657088398497,9.587588230961233,13.430616740490043,2010,True
AR,2011,17.5561,635334000000.0,15.065,41520740.0,0.56597,688.0,7.32173060164583,1175.37229,14040.6189124444,Argentina,MERCOSUR-4,-2.491100000000001,15301.605896234028,9.635713062410726,16.57003222967606,2010,True
AR,2012,16.6377,628813000000.0,14.6281,41952365.0,0.63491,735.0,6.63636695569979,1197.6554,13754.4254235596,Argentina,MERCOSUR-4,-2.009599999999999,14988.737822051273,9.61505438622071,17.519870453072194,2010,True
AR,2013,17.9693,643938000000.0,15.9583,42388269.0,0.61849,643.0,7.45820744914312,1193.37333,13946.0950832252,Argentina,MERCOSUR-4,-2.011000000000001,15191.420060111444,9.628486077731845,15.169291296136674,2010,True
AR,2014,17.6558,627758000000.0,15.5034,42824054.0,0.59396,509.0,7.06113490427245,1202.47388,13456.1319159151,Argentina,MERCOSUR-4,-2.1524,14659.004493129023,9.592810066799911,11.885843409407247,2010,True
AR,2015,17.7218,644903000000.0,16.2262,43257065.0,0.62262,546.0,9.22572828013488,1225.50983,13679.6264980954,Argentina,MERCOSUR-4,-1.4956000000000031,14908.61666181004,9.6096946242332,12.622215584899251,2010,True
AR,2016,17.1515,631487000000.0,15.8052,43668241.0,0.55815,884.0,8.9823994804111,1254.06674,13265.8860639123,Argentina,MERCOSUR-4,-1.3462999999999994,14461.012981951804,9.579211547335971,20.24354495982561,2010,True
AR,2017,19.0542,649286000000.0,17.8194,44054616.0,0.55631,393.0,9.20544177021613,1206.01905,13520.1129846159,Argentina,MERCOSUR-4,-1.2348,14738.205867008352,9.59819843967886,8.920745104213369,2010,True
AR,2018,17.7473,632291000000.0,15.8026,44413596.0,0.4883,425.0,5.40298410146417,1220.93622,13058.3285449954,Argentina,MERCOSUR-4,-1.9446999999999992,14236.428862909455,9.563559371415822,9.569141845663657,2010,True
AR,2019,18.7753,619640000000.0,15.6574,44745520.0,0.47813,442.0,5.21279058881723,1224.69939,12706.3978108968,Argentina,MERCOSUR-4,-3.117900000000001,13848.090266913872,9.535902615242792,9.878083884151978,2010,True
AR,2020,18.0512,558028000000.0,15.3567,45036032.0,0.54126,930.0,6.90388925607922,1250.48347,11393.0505957877,Argentina,MERCOSUR-4,-2.694500000000001,12390.700850376872,9.424701538832675,20.650131876627142,2020,True
AR,2021,18.914,616053000000.0,15.587,45276780.0,0.52216,406.0,4.42289139264312,1288.13477,12549.2811699342,Argentina,MERCOSUR-4,-3.3270000000000017,13606.37836877976,9.518293959483488,8.96706877123329,2020,True
AT,1996,20.5654,274776000000.0,26.6174,7958041.0,1.58077,1909.0,,,34301.6562151382,Austria,EU-27,6.052,34528.095545122225,10.44952863523204,239.8831571739829,1990,True
AT,1997,20.2566,280529000000.0,26.6563,7967093.0,1.65491,1910.0,,,34998.0321173934,Austria,EU-27,6.399700000000003,35210.96088623542,10.46911270192826,239.7361245814502,1990,True
AT,1998,20.205,290576000000.0,27.5929,7975862.0,1.73155,1957.0,,2347.32828,36180.7490571265,Austria,EU-27,7.387900000000002,36431.92422336294,10.50320070835414,245.36532853752985,1990,True
AT,1999,19.7637,300909000000.0,27.4993,7991377.0,1.84537,2028.0,,,37468.8698869794,Austria,EU-27,7.735600000000002,37654.211533256406,10.536200087085216,253.773536150278,1990,True
AT,2000,18.8389,311067000000.0,26.5027,8010428.0,1.88602,1961.0,,,38571.0858780001,Austria,EU-27,7.663800000000002,38832.75650189977,10.567019409181128,244.805895515196,2000,True
AT,2001,17.7547,315009000000.0,26.0721,8039626.0,1.9921,1815.0,,,38929.753800545,Austria,EU-27,8.3174,39182.04652803501,10.575973924132215,225.7567702776224,2000,True
AT,2002,18.0241,320212000000.0,25.9629,8078992.0,2.06598,1932.0,,2992.22105,39313.7225107545,Austria,EU-27,7.9388,39635.14260194836,10.587471443144144,239.13874404133583,2000,True
AT,2003,18.862,323226000000.0,27.6046,8120104.0,2.17456,2120.0,,,39569.2885567329,Austria,EU-27,8.742600000000003,39805.64780943692,10.591764085964725,261.0803999554686,2000,True
AT,2004,19.7265,332067000000.0,28.2953,8171217.0,2.16612,2248.0,,3186.95396,40333.3307183894,Austria,EU-27,8.5688,40638.62212935968,10.612474177380347,275.1120181975341,2000,True
AT,2005,20.8579,339519000000.0,27.2065,8227034.0,2.37324,2270.0,,3470.7262,40989.0131778975,Austria,EU-27,6.348599999999998,41268.70023874947,10.627859628156893,275.91960845184303,2000,True
AT,2006,21.7974,351246000000.0,28.114,8267763.0,2.35923,2271.0,,3536.82275,42120.1557002022,Austria,EU-27,6.316600000000001,42483.80124103703,10.656878134987709,274.68131343387563,2000,True
AT,2007,21.7471,364338000000.0,28.6137,8294722.0,2.41843,2385.0,12.9840241123201,3823.63127,43568.8302243941,Austria,EU-27,6.866600000000002,43924.076057039645,10.690217878276064,287.53224038129304,2000,True
AT,2008,23.4198,369659000000.0,28.8325,8321131.0,2.56945,2298.0,12.6611194672378,4152.75477,44063.8642019916,Austria,EU-27,5.412700000000001,44424.12936414533,10.701538054950008,276.1643819812475,2000,True
